ID,GENDER,OWN_CAR,OWN_REALTY,NUM_CHILDREN,INCOME_TOTAL,INCOME_TYPE,EDUCATION_TYPE,FAMILY_STATUS,HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,MOBILE,WORK_PHONE,PHONE,EMAIL,OCCUPATION_TYPE,NUM_FAM_MEMBERS
7022197,M,Y,Y,3,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11945,-735,1,0,0,1,Laborers,5.0
7022197,F,N,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,-19813,-1799,1,0,0,1,,1.0
7022327,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14771,-5298,1,0,0,0,High skill tech staff,1.0
7022327,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-21503,-1674,1,0,0,1,Core staff,2.0
7023108,M,Y,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,-15156,-1696,1,1,0,0,Core staff,3.0
7023108,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17590,-1273,1,0,0,0,Cleaning staff,2.0
7023651,F,N,N,0,225000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-10229,-1209,1,0,0,0,Accountants,1.0
7023651,M,Y,N,1,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,-10521,-1457,1,0,0,0,Drivers,3.0
7024111,M,N,N,2,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15270,-117,1,1,0,0,Drivers,4.0
7024111,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-22041,-1524,1,1,1,0,Accountants,2.0
7036518,F,N,Y,0,360000.0,Working,Higher education,Married,House / apartment,-15875,-1965,1,1,0,0,Core staff,2.0
7036518,F,N,N,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13858,-2612,1,0,0,0,Laborers,3.0
7045794,F,N,N,0,414000.0,Working,Higher education,Separated,House / apartment,-20786,-1447,1,0,0,0,,1.0
7045794,F,N,Y,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14431,-507,1,0,1,0,Laborers,4.0
7045885,F,N,N,2,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,-14452,-1624,1,1,1,0,,4.0
7045885,M,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20851,365243,1,0,0,0,,2.0
7046068,F,N,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-11888,-2781,1,0,0,0,Private service staff,1.0
7046068,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22744,365243,1,0,1,0,,2.0
7050948,F,N,N,0,135000.0,Commercial associate,Higher education,Married,House / apartment,-12256,-4031,1,1,1,1,Core staff,2.0
7050948,F,N,Y,1,81000.0,Working,Higher education,Single / not married,House / apartment,-13977,-148,1,0,0,0,Core staff,2.0
7052783,M,Y,Y,2,166500.0,Working,Secondary / secondary special,Married,House / apartment,-15883,-2697,1,1,0,1,Managers,4.0
7052783,M,Y,Y,0,157500.0,Working,Higher education,Married,House / apartment,-13428,-2589,1,0,1,0,Laborers,2.0
7052812,F,N,Y,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,-17189,-4523,1,0,0,0,Managers,2.0
7052812,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15002,-123,1,0,0,0,Accountants,1.0
