,ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Account age,Is high risk
0,5037048,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,With parents,-16271,-3111,1,0,0,0,Core staff,2.0,-17.0,0
1,5044630,F,Y,N,1,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10130,-1651,1,0,0,0,Accountants,2.0,-1.0,0
2,5079079,F,N,Y,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12821,-5657,1,0,0,0,Laborers,4.0,-38.0,0
3,5112872,F,Y,Y,0,360000.0,Commercial associate,Higher education,Single / not married,House / apartment,-20929,-2046,1,0,0,1,Managers,1.0,-11.0,0
4,5105858,F,N,N,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16207,-515,1,0,1,0,,1.0,-41.0,0
5,5100411,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13251,-3839,1,1,0,0,Accountants,2.0,-1.0,0
6,5022817,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-17262,-1617,1,0,0,0,Core staff,2.0,-16.0,0
7,5009811,F,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-11813,-3266,1,1,1,0,Sales staff,3.0,-21.0,0
8,5113922,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-23478,365243,1,0,0,0,,1.0,-50.0,0
9,5021541,F,Y,N,1,306000.0,Working,Higher education,Married,House / apartment,-9310,-1678,1,0,0,0,,3.0,-13.0,0
10,5061509,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21464,365243,1,0,0,0,,2.0,-15.0,0
11,5028439,M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,-15586,-3337,1,0,0,0,Managers,2.0,-6.0,0
12,5096280,F,N,N,0,360000.0,Commercial associate,Higher education,Separated,House / apartment,-18168,-3931,1,1,1,0,,1.0,-13.0,0
13,5024159,F,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-9685,-1098,1,0,0,0,Sales staff,3.0,-6.0,0
14,5091895,M,N,N,0,157500.0,Commercial associate,Higher education,Single / not married,House / apartment,-10192,-1600,1,0,0,0,Sales staff,1.0,-16.0,0
15,5009969,F,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,-20644,-3873,1,0,0,0,Medicine staff,2.0,-41.0,0
16,5046544,F,N,Y,1,148500.0,Working,Secondary / secondary special,Married,House / apartment,-15083,-847,1,0,0,0,High skill tech staff,3.0,-55.0,0
17,5105991,M,N,N,0,90000.0,Working,Secondary / secondary special,Married,Municipal apartment,-13334,-2829,1,1,1,0,Laborers,2.0,-15.0,0
18,5091715,F,Y,Y,1,157500.0,Working,Higher education,Married,House / apartment,-9766,-2696,1,1,0,0,Sales staff,3.0,-23.0,0
19,5053194,F,N,Y,0,315000.0,Working,Higher education,Married,House / apartment,-15527,-3792,1,1,1,0,Accountants,2.0,-44.0,0
20,5090578,F,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15840,-1834,1,0,0,0,Sales staff,2.0,-17.0,0
21,5025950,F,N,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-13520,-5488,1,0,0,0,Core staff,2.0,-45.0,0
22,5033969,F,N,Y,3,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14445,-2240,1,0,0,0,Sales staff,5.0,-14.0,0
23,5125661,F,N,N,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,-18532,-3666,1,1,1,0,Core staff,2.0,-44.0,0
24,5029415,F,N,Y,1,315000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-11206,-2514,1,0,0,1,Core staff,3.0,-23.0,0
25,5067899,F,N,Y,0,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21511,365243,1,0,1,0,,2.0,-45.0,0
26,5148911,M,Y,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14636,-3850,1,0,0,0,,4.0,-33.0,0
27,5089847,F,N,Y,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16505,-1862,1,0,1,1,Core staff,3.0,-18.0,0
28,5149881,F,Y,Y,1,391500.0,Commercial associate,Higher education,Married,House / apartment,-17423,-472,1,0,1,0,Managers,3.0,-16.0,0
29,5091761,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15198,-1357,1,0,0,0,Laborers,2.0,-24.0,0
30,5116567,F,N,Y,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10645,-3868,1,1,1,0,Sales staff,3.0,-44.0,0
31,5025876,F,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-12017,-192,1,0,0,0,Sales staff,3.0,-49.0,0
32,5041825,F,Y,N,0,112500.0,Working,Secondary / secondary special,Married,Municipal apartment,-17372,-978,1,0,1,0,Sales staff,2.0,-34.0,0
33,5010208,F,N,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,-13764,-3996,1,0,0,1,Core staff,2.0,-12.0,0
34,5148624,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22829,365243,1,0,0,0,,1.0,-22.0,0
35,5096373,F,Y,N,0,207000.0,Working,Higher education,Married,House / apartment,-14761,-3718,1,1,1,0,HR staff,2.0,-22.0,0
36,5054536,F,N,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,-15787,-2188,1,1,0,0,Accountants,2.0,-59.0,0
37,5010039,F,N,Y,0,292500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21582,365243,1,0,0,0,,2.0,-16.0,0
38,5029401,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19125,365243,1,0,0,0,,2.0,-52.0,0
39,5111157,F,Y,Y,1,81000.0,Working,Higher education,Married,House / apartment,-10648,-1393,1,1,1,0,Core staff,3.0,-42.0,0
40,5048458,F,Y,Y,1,126000.0,Working,Higher education,Married,House / apartment,-9441,-157,1,0,0,0,,3.0,-31.0,0
41,5092275,F,N,Y,0,360000.0,Working,Secondary / secondary special,Married,House / apartment,-15552,-5587,1,1,1,0,Laborers,2.0,-58.0,0
42,5090131,F,Y,Y,0,225000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-10851,-164,1,1,1,0,Sales staff,2.0,-22.0,0
43,5065444,F,Y,N,2,270000.0,Working,Secondary / secondary special,Married,With parents,-13258,-2300,1,0,0,0,Managers,4.0,-30.0,0
44,5087881,F,N,N,0,234000.0,State servant,Higher education,Civil marriage,House / apartment,-21967,-5215,1,0,0,1,Core staff,2.0,-50.0,0
45,5045654,F,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-14854,-2452,1,0,1,0,,2.0,-6.0,0
46,5112850,F,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-12172,-1681,1,0,0,1,Managers,2.0,-22.0,0
47,5058365,F,N,Y,0,108000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21476,365243,1,0,0,0,,1.0,-9.0,0
48,5058521,F,N,Y,0,405000.0,Commercial associate,Secondary / secondary special,Married,With parents,-14585,-3400,1,1,1,0,Laborers,2.0,-55.0,0
49,5062211,F,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-17472,-1202,1,1,1,0,,2.0,-12.0,0
50,5021462,F,Y,N,1,225000.0,Working,Higher education,Civil marriage,House / apartment,-11501,-735,1,0,0,0,Core staff,3.0,-14.0,0
51,5132564,F,N,Y,1,112500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14934,-1350,1,0,1,0,Sales staff,3.0,-16.0,0
52,5053466,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18516,-2129,1,1,1,0,Low-skill Laborers,2.0,-40.0,0
53,5010892,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23758,365243,1,0,0,1,,2.0,-18.0,0
54,5116999,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21591,365243,1,0,0,1,,2.0,-28.0,0
55,5089674,F,Y,N,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-13135,-3657,1,1,1,0,High skill tech staff,4.0,-15.0,0
56,5112881,F,N,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21902,365243,1,0,0,1,,2.0,-2.0,0
57,5095637,F,N,N,0,128542.5,Commercial associate,Higher education,Single / not married,Rented apartment,-9351,-370,1,1,0,1,Sales staff,1.0,-26.0,0
58,5024635,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19922,-1128,1,0,0,0,,2.0,-29.0,0
59,5095562,F,N,N,1,540000.0,Working,Secondary / secondary special,Separated,House / apartment,-16409,-2045,1,1,0,0,Managers,2.0,-60.0,0
